cell,e_target,e_targets,n_targets,library_id,pair,e_core_pair,pair_spread,node_e_core,feed,per_fa_tU,M_HM_tU,n_candidates,n_in_band,n_feasible,pred_cyclen,sigma_cyclen,pred_f_r,pred_f_q,pred_cbc_max,pred_ao_abs,pred_max_pin_bu,B_cycle,B_d,min_pred_f_r,max_pred_cyclen_any,ref_cyclen,ref_f_r,n_store_feed,n_store_feed_ecore,n_store_feed_lib,n_store_pair_feed,in_distribution,node_record_id,node_origin,n_pareto,pareto_min_f_r,pareto_min_f_r_cyclen,pareto_cyclen_span,pareto_f_r_span,seconds
e5.0_f105,5.0,5.0,1,ga80,E1_E2,5.0,0.0,,105,0.42337,102.031,1200,1200,0,,,,,,,,,,1.7398870915172724,575.5579871098826,575.5579871098826,1.778245232223393,285,40,285,15,False,,,0,,,,,211.7
e5.0_f109,5.0,5.0,1,ga80,E1_E2,5.0,0.0,,109,0.42337,102.031,1200,1200,0,,,,,,,,,,1.5951457530764537,590.9647637737546,590.9647637737546,1.659325672795352,3934,489,1763,177,False,,,0,,,,,220.5
e5.0_f113,5.0,5.0,1,ga80,E1_E2,5.0,0.0,,113,0.42337,102.031,1200,1200,0,,,,,,,,,,1.599208905694612,609.3974423515538,609.3974423515538,1.6578299379867238,763,134,751,134,False,,,0,,,,,219.3
e5.0_f117,5.0,5.0,1,ga80,E1_E2,5.0,0.0,5.0,117,0.42337,102.031,1200,1200,3,623.7502106261685,1.895916983152507,1.528236279030867,1.9227442775437893,1299.715132787365,0.0408625475337834,70.66743907619848,24.34931570937156,50.15542808511577,1.528236279030867,629.6851612107752,,,3587,796,2213,501,False,c324c05d138021cc5174ca41c0314523493b4d7310b63a8128b35d65ea3a3706,elite,1,1.528236279030867,623.7502106261685,0.0,0.0,211.8
e5.0_f121,5.0,5.0,1,ga80,E1_E2,5.0,0.0,5.0,121,0.42337,102.031,1200,1200,388,639.8273875255527,0.4396542844599339,1.549085374828675,1.9478706538514088,1347.615065308316,0.0378137451359202,69.55825910444814,24.97691991594255,49.74741900613351,1.4948761613660753,642.1118275983797,,,44292,1317,3450,1097,True,6d5c569d6f7ace47e205d9c50450f0df8c99ac9dbe2179c4f40e56825fc982b4,elite,10,1.4948761613660753,637.0256779914492,2.801709534103452,0.0542092134625997,216.2
e5.1_f105,5.1,5.1,1,ga80,J1_J2,5.1,0.0,,105,0.42337,102.031,1200,1200,0,,,,,,,,,,1.6725759263783515,586.2398051154493,586.2398051154493,1.7550747436240908,285,21,285,21,False,,,0,,,,,209.9
e5.1_f109,5.1,5.1,1,ga80,J1_J2,5.1,0.0,,109,0.42337,102.031,1200,1200,0,,,,,,,,,,1.6553170197715878,599.6568713461998,599.6568713461998,1.6711920003714154,3934,223,1763,223,False,,,0,,,,,208.5
e5.1_f113,5.1,5.1,1,ga80,J1_J2,5.1,0.0,,113,0.42337,102.031,1200,1200,0,,,,,,,,,,1.5978009484048092,618.3890814382248,618.3890814382248,1.6062748581438755,763,44,751,44,False,,,0,,,,,204.8
e5.1_f117,5.1,5.1,1,ga80,J1_J2,5.1,0.0,5.1,117,0.42337,102.031,1200,1200,113,632.0882028385686,1.1468025221735392,1.5376468180889271,1.9469783330817263,1300.3545427114484,0.0455735474614454,71.71637180461235,24.6748056271356,50.82588167640752,1.5233669441108697,632.8053414060885,,,3587,364,2213,338,False,c32736c8229638d5a6fe1d967ba05402c1dc6c32bb47c67e494579371759bdac,elite,7,1.5233669441108697,630.1909420746342,1.897260763934355,0.0142798739780576,205.3
e5.1_f121,5.1,5.1,1,ga80,J1_J2,5.1,0.0,5.1,121,0.42337,102.031,1200,1200,304,646.6705055178052,0.909616097044138,1.5494742169253148,1.948507426322034,1332.4098329225822,0.0442379380904289,70.51392506013445,25.24405447973302,50.27948041004676,1.4925951213912327,648.5744855481015,,,44292,408,3450,150,True,82e9c787b5e2c037f08d280927b3a9ab91f94a2c2e2b1c5e34d5eeed368aeb0d,guided,12,1.4925951213912327,633.9455238775096,12.724981640295596,0.0568790955340821,206.1
e5.2_f105,5.2,5.2,1,ga80,K1_K2,5.2,0.0,,105,0.42337,102.031,1200,1200,0,,,,,,,,,,1.6987949075642812,594.8674634841498,594.8674634841498,2.0431127596151697,285,0,285,24,False,,,0,,,,,215.5
e5.2_f109,5.2,5.2,1,ga80,K1_K2,5.2,0.0,,109,0.42337,102.031,1200,1200,0,,,,,,,,,,1.6658650160673107,609.4237916948102,609.4237916948102,2.0009881766306608,3934,111,1763,135,False,,,0,,,,,214.4
e5.2_f113,5.2,5.2,1,ga80,K1_K2,5.2,0.0,,113,0.42337,102.031,1200,1200,0,,,,,,,,,,1.6204618416403975,631.1860111566465,631.1860111566465,1.6511221203171558,763,55,751,79,False,,,0,,,,,216.6
e5.2_f117,5.2,5.2,1,ga80,K1_K2,5.2,0.0,5.200000000000001,117,0.42337,102.031,1200,1200,46,646.3231067213015,1.131319261037894,1.548605859528811,1.9458976244360573,1314.1174434484738,0.0526875920519223,73.21436848500899,25.230493084756283,51.970502849797136,1.5271231783394796,647.1745796579042,,,3587,179,2213,201,False,77a1be57934ef32ffa474f1c475bc2eb3ddd8fcc3c516f984561751735254422,elite,7,1.5271231783394796,641.3602721719024,4.96283454939919,0.0214826811893313,220.4
e5.2_f121,5.2,5.2,1,ga80,K1_K2,5.2,0.0,5.2,121,0.42337,102.031,1200,1200,287,657.3277216206272,0.3694428772146018,1.5475299589095095,1.9506117514000048,1298.839912174476,0.0474509992259895,72.19900370823176,25.660079861448104,51.10809294718176,1.4965616224724694,659.7454417061832,,,44292,437,3450,416,True,21a5c3a78d827e6009661f1c4ed74999d70c4a97420d049537f752c5d3d6d510,elite,12,1.4965616224724694,648.9675107091389,8.360210911488366,0.0509683364370401,221.2
e5.3_f105,5.3,5.3,1,ga80,L1_L2,5.3,0.0,,105,0.42337,102.031,1200,1200,0,,,,,,,,,,1.757394362126364,594.4593469809286,594.4593469809286,1.8983894884700767,285,48,285,17,False,,,0,,,,,215.4
e5.3_f109,5.3,5.3,1,ga80,L1_L2,5.3,0.0,,109,0.42337,102.031,1200,1200,0,,,,,,,,,,1.6702276858935128,614.5930744829932,614.5930744829932,1.9933616748551295,3934,344,1763,107,False,,,0,,,,,216.8
e5.3_f113,5.3,5.3,1,ga80,L1_L2,5.3,0.0,,113,0.42337,102.031,1200,1200,0,,,,,,,,,,1.6709416441975298,633.9860194958864,633.9860194958864,1.8336191700549425,763,73,751,30,False,,,0,,,,,212.7
e5.3_f117,5.3,5.3,1,ga80,L1_L2,5.3,0.0,,117,0.42337,102.031,1200,1200,0,,,,,,,,,,1.557521028901187,649.2927137162369,649.2927137162369,1.9071392189206693,3587,330,2213,245,False,,,0,,,,,211.7
e5.3_f121,5.3,5.3,1,ga80,L1_L2,5.3,0.0,5.3,121,0.42337,102.031,1200,1200,302,663.4139842128,0.8811929941658073,1.5487103388704038,1.9343846094283268,1316.177743531082,0.0516867279080181,72.70973578328434,25.89766908678588,51.58130785054048,1.49095263696997,668.3141762955826,,,44292,117,3450,78,True,6b8ffff7e9f76d5e433ecb5dce816fed19a1311b6e69aa7f1523267b3ab2ffe0,elite,18,1.49095263696997,654.2100227376179,9.20396147518204,0.0577577019004338,212.1
e5.4_f105,5.4,5.4,1,ga80,N1_N2,5.4,0.0,,105,0.42337,102.031,1200,1200,0,,,,,,,,,,1.6914769511258736,611.2047762439404,611.2047762439404,2.324999711118478,285,52,285,17,False,,,0,,,,,213.6
e5.4_f109,5.4,5.4,1,ga80,N1_N2,5.4,0.0,,109,0.42337,102.031,1200,1200,0,,,,,,,,,,1.6549141192264147,627.8438850459071,627.8438850459071,1.867308788909492,3934,122,1763,122,False,,,0,,,,,220.1
e5.4_f113,5.4,5.4,1,ga80,N1_N2,5.4,0.0,,113,0.42337,102.031,1200,1200,0,,,,,,,,,,1.592623736220527,645.5672500133884,645.5672500133884,2.175642797617406,763,270,751,226,False,,,0,,,,,219.7
e5.4_f117,5.4,5.4,1,ga80,N1_N2,5.4,0.0,,117,0.42337,102.031,1200,1200,0,,,,,,,,,,1.5768386980144575,668.5134379420772,668.5134379420772,2.514327999609686,3587,217,2213,217,False,,,0,,,,,220.5
e5.4_f121,5.4,5.4,1,ga80,N1_N2,5.4,0.0,5.4,121,0.42337,102.031,1200,1200,110,680.5117212131031,1.3001901298634964,1.5330353267525398,1.9205077596428064,1412.0556100487502,0.0484627078567183,73.14165604861572,26.565112863226855,52.91067933915432,1.509445191494717,684.023605760262,,,44292,30448,3450,230,True,b0692011ec5b34b11c369cd2978625972fc1012b2faed30e62be9315f5f53d7e,elite,8,1.509445191494717,672.2589173802282,8.25280383287486,0.0235901352578229,225.1
e5.5_f105,5.5,5.5,1,ga80,G3_G4,5.5,0.0,,105,0.42337,102.031,1200,1200,0,,,,,,,,,,1.733501167500227,626.0864273358977,626.0864273358977,2.379889839121991,285,100,285,31,False,,,0,,,,,208.1
