move_class,fresh_radial_dir,n,n_F_xy,mean_F_xy,median_F_xy,improving_F_xy,n_F_r,mean_F_r,median_F_r,improving_F_r,n_node_peak,mean_node_peak,median_node_peak,improving_node_peak,n_cyclen,mean_cyclen,median_cyclen,improving_cyclen
batch_flip,inward,21,19,0.0658,0.04740000000000011,0.15789473684210525,21,0.05195714285714289,0.03730000000000011,0.19047619047619047,21,0.032119041397170284,0.025699973148242128,0.14285714285714285,21,15.717952380952392,-1.4809999999999945,0.47619047619047616
batch_flip,neutral,60,60,0.008603333333333336,0.007849999999999913,0.4166666666666667,60,0.012548333333333325,0.014449999999999963,0.25,60,0.006030001246411532,0.011199951154473808,0.3,60,-0.008916666666666136,-0.16900000000003956,0.35
batch_flip,outward,19,19,0.07924736842105266,0.0696000000000001,0.15789473684210525,19,0.06259999999999998,0.07050000000000001,0.21052631578947367,19,0.03331579033924817,0.022900104503845276,0.21052631578947367,19,18.945210526315794,31.04600000000005,0.9473684210526315
batch_swap,inward,39,37,0.11299459459459461,0.11169999999999991,0.05405405405405406,39,0.08148974358974359,0.07899999999999996,0.07692307692307693,39,0.038743587645368206,0.02040004731309808,0.20512820512820512,39,17.966051282051296,31.04600000000005,0.8461538461538461
batch_swap,neutral,120,120,0.05630000000000001,0.04735,0.13333333333333333,120,0.07710583333333335,0.08534999999999993,0.15,120,0.07669582665312184,0.08660000561948855,0.11666666666666667,120,-0.2083499999999977,-0.15350000000000819,0.35833333333333334
batch_swap,outward,40,38,0.08831578947368421,0.07835000000000014,0.07894736842105263,40,0.072635,0.07164999999999999,0.05,40,0.03898749054046264,0.04185003043275748,0.075,40,17.481225000000006,15.81049999999999,0.725
fresh_relocate,inward,195,191,0.1876109947643979,0.1589999999999998,0.07853403141361257,195,0.1447502564102564,0.12420000000000009,0.035897435897435895,195,0.0641328182022693,0.03999996182171639,0.14871794871794872,195,6.266692307692313,0.09199999999998454,0.5333333333333333
fresh_relocate,outward,197,193,0.13373471502590673,0.11240000000000006,0.05699481865284974,197,0.10109746192893401,0.09860000000000002,0.06598984771573604,197,0.04983451342678483,0.03570008278978265,0.19796954314720813,197,5.142964467005081,-0.6129999999999427,0.3248730964467005
rewire_swap,neutral,100,98,0.030937755102040825,0.003950000000000009,0.24489795918367346,100,0.028857,0.0046000000000000485,0.28,100,0.01973199367957763,0.0036500096381774094,0.27,100,7.06452,0.0584999999999809,0.59
