cell,e_target,feed,library_id,pair,rank,rep,pred_cyclen,sigma_cyclen,pred_f_r,pred_f_q,pred_cbc_max,pred_ao_abs,pred_max_pin_bu,B_cycle,B_d,M_HM_tU,cand_e_core,in_distribution,record_id,origin
e5.0_f113,5.0,113,ga80,E1_E2,0,min_f_r,606.835279706024,1.1171874912679438,1.5456686128521286,1.9273333940328587,1261.7708595576014,0.0427218894948593,77.80806785306557,23.68900812765012,50.522574856315735,102.031,5.0,False,dfb3fb07ca892132642adb3f0663dee1de1b2aa8646e9f52b3791c4db5a285b9,elite
e5.0_f117,5.0,117,ga80,E1_E2,0,min_f_r,621.55057040159,1.9037391232724328,1.5112959338438343,1.882212011961718,1286.2179948287155,0.0399269540229742,73.94083955906635,24.2634484289076,49.97855616552762,102.031,5.0,False,34559785f3d7c6ac90f3a1b73384003a98ec950632a5b5c3a43e9cbe025b272b,elite
e5.0_f117,5.0,117,ga80,E1_E2,1,,621.9027252161954,1.7631668124759907,1.5173960968304558,1.907040065581121,1285.1011321503902,0.0398014890781141,76.42872958056341,24.27719548440085,50.00687274991969,102.031,5.0,False,c51176b9487583414b89e4b32a8fcbeb1f68fd9aced1d1d05afda517c134efc8,elite
e5.0_f117,5.0,117,ga80,E1_E2,2,knee,623.3672496794436,1.3949335709230526,1.520169808559179,1.9051249714550689,1297.1186701211332,0.0383883410860046,72.89368051079202,24.33436607594891,50.12463439575801,102.031,5.0,False,a124e3994d0ab3acc52077d3c46cbf39c07fab754c709c60368a20cb1bf0daed,guided
e5.0_f117,5.0,117,ga80,E1_E2,3,,624.168548535612,2.186665444498413,1.5331760353158692,1.9235782226167957,1314.2862652044814,0.037910354100004,74.06035731745773,24.365646352081907,50.18906641753623,102.031,5.0,False,142dd0e4433a33c82c71afc81dcf3200670477a39fa4c467a22c8711f61fbdbc,elite
e5.0_f117,5.0,117,ga80,E1_E2,4,max_cyclen,624.2856582509603,1.6842926406819627,1.5332240679806823,1.9389687530318973,1309.471239513883,0.0394859717613155,76.0865039414245,24.37021796004784,50.198483148474615,102.031,5.0,False,3720b88df81d3f3d41316c8dd7342bff4c3aa7237ee2a4a44981cdcda0518a6b,elite
e5.0_f121,5.0,121,ga80,E1_E2,0,min_f_r,636.6043608239768,1.3095025840145056,1.4943275732383727,1.8732800723509744,1314.4125185656376,0.0403065856276976,69.63059273710147,24.85110273246196,49.49682445060605,102.031,5.0,True,249f01bfd5cd2450f6a22d24af4db40a04facaf76c441e8e6eb4eeb90aeab2f5,guided
e5.0_f121,5.0,121,ga80,E1_E2,1,,637.3401857140198,1.400657708039849,1.4992370579406713,1.8749678356594568,1320.774792037318,0.0393424871814379,69.8312133019011,24.879827103611245,49.55403580140752,102.031,5.0,True,8f0b3519e1d15758ba81f68638d3ea7b2ff54662bb0892f3891d5bc85d97245c,elite
e5.0_f121,5.0,121,ga80,E1_E2,2,,637.4968660060733,1.269597561911148,1.5008026433053985,1.877568118432848,1325.700717486035,0.0395816012685304,69.63975448863951,24.885943426831112,49.56621789972147,102.031,5.0,True,d3390c2ac02a51dcc41b1bacd5347b91ca4077d4c3b6e67f0a3c84aa7c682869,elite
e5.0_f121,5.0,121,ga80,E1_E2,3,,637.5779563600888,1.35334928026203,1.5024628373210898,1.877892702365349,1326.3340466440454,0.0395592645864986,69.73966834307764,24.88910894821655,49.57252278115858,102.031,5.0,True,2b381e63f69316cf04e9ed66b45c5a90802320c204ab67806a20c9da3762c6d2,elite
